city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hezhou,204,252,290,290,1226,1636,2193,2925,4206,10738,11836,15183,11581,6050,11099,12010,4572
Hechi,479,628,695,1075,3957,5272,5920,6478,9106,13638,17202,19644,15162,12616,12191,11294,8198
Laibin,205,297,313,396,907,1567,2442,3077,5834,11754,15198,16464,6799,4545,2532,2344,1794
Chongzuo,215,224,223,494,2289,3313,3981,4732,7667,11663,13551,16730,16832,10111,11033,9632,7899
Haikou,329,372,331,696,5078,6051,6732,9642,13559,16064,19313,10406,8284,28162,10528,24995,23696
Sanya,94,133,170,297,2978,6035,11523,17591,21305,25234,28641,32312,37164,41668,27590,31157,142459
Sansha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danzhou,0,0,0,0,0,0,0,0,0,0,0,0,519,3499,1325,918,973
Chongqing,8666,10172,10855,13548,110513,151279,155544,178968,250383,298409,386529,381647,456689,516208,593077,685887,792329
Chengdu,4173,4866,5485,7062,61930,85042,92646,106972,147010,190863,205998,253590,390170,462043,532565,730705,1057709
Zigong,994,869,910,1122,4444,6056,6094,6954,8289,13187,21237,32228,34485,18662,19106,35490,58264
Panzhihua,1356,1337,1695,2020,5568,5741,6340,7585,10853,12081,15120,20489,16906,14232,13573,12494,14904
Luzhou,733,707,575,773,2162,3311,4854,6531,7063,9361,24127,25454,35197,37880,31324,30344,51891
Deyang,575,728,809,1107,7888,13892,10848,9317,15902,22789,25401,36192,26227,20925,21105,21934,34433
Mianyang,868,1324,1145,1162,18092,17186,13895,19084,26922,41211,55665,76637,46651,50353,61324,255424,143576
Guangyuan,397,500,619,655,2558,3654,6467,5109,7245,8369,11587,12437,10435,11418,9827,8832,9004
Suining,235,245,405,656,2666,2746,4099,4292,4990,7273,8886,7773,8382,9932,9493,13268,20754
Neijiang,426,540,523,810,1893,2790,2837,3091,4243,6579,6569,8942,16721,11328,16910,16793,16049
Leshan,741,858,1137,1164,5010,5883,8565,10693,12195,14388,15869,18374,18482,12510,19528,10085,10056
Nanchong,1004,1066,1156,1379,4185,5871,7026,8113,10308,11791,13618,12303,17761,15440,14205,19568,17227
Meishan,302,241,351,563,2112,3572,3448,3528,4731,5761,7426,7620,7504,7530,11483,9668,6883
Yibin,755,885,942,1233,8777,8231,12438,15483,20565,25709,30334,30468,31253,28069,29251,18981,53730
Guangan,259,283,340,409,1230,1874,2145,2799,3887,5823,7202,7734,9731,8107,6111,6946,9760
Dazhou,804,964,1031,1085,4543,5391,6376,7291,9546,12480,13844,14524,16078,16700,16289,15413,17171
Yaan,424,488,628,941,3024,4586,3519,4262,12372,25778,12659,33733,24489,9423,15878,15330,27921
Bazhong,265,314,427,668,1809,2898,2876,3157,4105,5185,6282,6360,8153,8798,7103,4941,6396
Ziyang,200,244,328,409,4036,5465,6673,7993,11993,17298,19221,17864,15862,9346,11894,20008,23973
Guiyang,1758,2036,2278,2563,22130,27119,28859,36075,50526,65869,93638,123754,145535,172621,166542,247794,284573
Liupanshui,337,360,396,464,3138,4307,5309,6184,7860,9889,12130,13476,33087,49294,61466,61413,55103
Zunyi,899,906,1238,0.13,5803,8953,11873,13954,24438,29850,32554,35480,37871,61318,77914,0,109631
